Date,New Cases,Total Cases,New Deaths,Total Deaths
2020-02-26,5,5,0,0
2020-02-27,0,5,0,0
2020-02-28,0,5,0,0
2020-02-29,0,5,0,0
2020-03-01,1,6,0,0
2020-03-02,0,6,0,0
2020-03-03,0,6,0,0
2020-03-04,1,7,0,0
2020-03-05,4,11,0,0
2020-03-06,1,12,0,0
2020-03-07,11,23,0,0
2020-03-08,0,23,0,0
2020-03-09,6,29,0,0
2020-03-10,0,29,0,0
2020-03-11,9,38,0,0
2020-03-12,18,56,0,0
2020-03-13,46,102,0,0
2020-03-14,23,125,0,0
2020-03-15,0,125,0,0
2020-03-16,79,204,0,0
2020-03-17,34,238,0,0
2020-03-18,57,295,1,1
2020-03-19,133,428,3,4
2020-03-20,193,621,0,4
2020-03-21,283,904,7,11
2020-03-22,0,904,0,11
2020-03-23,0,904,0,11
2020-03-24,1297,2201,35,46
2020-03-25,0,2201,0,46
2020-03-26,232,2433,11,57
2020-03-27,0,2433,0,57
2020-03-28,482,2915,20,77
2020-03-29,502,3417,15,92
2020-03-30,487,3904,22,114
2020-03-31,352,4256,22,136
2020-04-01,323,4579,23,159
2020-04-02,1138,5717,42,201
2020-04-03,1119,6836,40,241
2020-04-04,1074,7910,58,299
2020-04-05,1146,9056,60,359
2020-04-06,1222,10278,73,432
2020-04-07,852,11130,54,486
2020-04-08,926,12056,67,553
2020-04-09,1661,13717,114,667
2020-04-10,2210,15927,133,800
2020-04-11,1930,17857,141,941
2020-04-12,1781,19638,115,1056
2020-04-13,1089,20727,68,1124
2020-04-14,1442,22169,99,1223
2020-04-15,1261,23430,105,1328
2020-04-16,1832,25262,204,1532
2020-04-17,3058,28320,204,1736
2020-04-18,2105,30425,188,1924
2020-04-19,3257,33682,217,2141
2020-04-20,2917,36599,206,2347
2020-04-21,2055,38654,115,2462
2020-04-22,1927,40581,113,2575
2020-04-23,2498,43079,166,2741
2020-04-24,2678,45757,165,2906
2020-04-25,3735,49492,407,3313
2020-04-26,3503,52995,357,3670
2020-04-27,5514,58509,346,4016
2020-04-28,3379,61888,189,4205
2020-04-29,4613,66501,338,4543
2020-04-30,5385,71886,474,5017
2020-05-01,6276,78162,449,5466
2020-05-02,7218,85380,435,5901
2020-05-03,6209,91589,428,6329
2020-05-04,4970,96559,421,6750
2020-05-05,4588,101147,275,7025
2020-05-06,6633,107780,296,7321
2020-05-07,6935,114715,600,7921
2020-05-08,10503,125218,615,8536
2020-05-09,9888,135106,610,9146
2020-05-10,10222,145328,751,9897
2020-05-11,10611,155939,730,10627
2020-05-12,6760,162699,496,11123
2020-05-13,5632,168331,396,11519
2020-05-14,9258,177589,881,12400
2020-05-15,11385,188974,749,13149
2020-05-16,13944,202918,844,13993
2020-05-17,15305,218223,824,14817
2020-05-18,14919,233142,816,15633
2020-05-19,7938,241080,485,16118
2020-05-20,13140,254220,674,16792
2020-05-21,17408,271628,1179,17971
2020-05-22,19951,291579,888,18859
2020-05-23,18508,310087,1188,20047
2020-05-24,20803,330890,1001,21048
2020-05-25,16508,347398,965,22013
2020-05-26,15813,363211,653,22666
2020-05-27,11687,374898,807,23473
2020-05-28,16324,391222,1039,24512
2020-05-29,20599,411821,1086,25598
2020-05-30,26417,438238,1156,26754
2020-05-31,26928,465166,1124,27878
2020-06-01,33274,498440,956,28834
2020-06-02,16409,514849,480,29314
2020-06-03,11598,526447,623,29937
2020-06-04,28936,555383,1262,31199
2020-06-05,28633,584016,1349,32548
2020-06-06,30925,614941,1473,34021
2020-06-07,30830,645771,1005,35026
2020-06-08,27075,672846,904,35930
2020-06-09,18912,691758,525,36455
2020-06-10,15654,707412,679,37134
2020-06-11,32091,739503,1272,38406
2020-06-12,32913,772416,1274,39680
2020-06-13,30412,802828,1239,40919
2020-06-14,25982,828810,909,41828
2020-06-15,21704,850514,892,42720
2020-06-16,17110,867624,612,43332
2020-06-17,20647,888271,627,43959
2020-06-18,34918,923189,1282,45241
2020-06-19,32188,955377,1269,46510
2020-06-20,22765,978142,1238,47748
2020-06-21,54771,1032913,1206,48954
2020-06-22,34666,1067579,1022,49976
2020-06-23,17459,1085038,641,50617
2020-06-24,21432,1106470,654,51271
2020-06-25,39436,1145906,1374,52645
2020-06-26,42725,1188631,1185,53830
2020-06-27,39483,1228114,1141,54971
2020-06-28,46860,1274974,990,55961
2020-06-29,38693,1313667,1109,57070
2020-06-30,30476,1344143,552,57622
2020-07-01,24052,1368195,692,58314
2020-07-02,33846,1402041,1280,59594
2020-07-03,46712,1448753,1038,60632
2020-07-04,48105,1496858,1252,61884
2020-07-05,42223,1539081,1290,63174
2020-07-06,37923,1577004,1091,64265
2020-07-07,26051,1603055,602,64867
2020-07-08,20229,1623284,620,65487
2020-07-09,45305,1668589,1254,66741
2020-07-10,44571,1713160,1223,67964
2020-07-11,42619,1755779,1220,69184
2020-07-12,45048,1800827,1214,70398
2020-07-13,39023,1839850,1071,71469
2020-07-14,24831,1864681,631,72100
2020-07-15,20286,1884967,733,72833
2020-07-16,41857,1926824,1300,74133
2020-07-17,39924,1966748,1233,75366
2020-07-18,45403,2012151,1322,76688
2020-07-19,34177,2046328,1163,77851
2020-07-20,28532,2074860,921,78772
2020-07-21,23529,2098389,716,79488
2020-07-22,20257,2118646,632,80120
2020-07-23,41008,2159654,1367,81487
2020-07-24,67860,2227514,1284,82771
2020-07-25,59961,2287475,1311,84082
2020-07-26,55891,2343366,1156,85238
2020-07-27,51147,2394513,1211,86449
2020-07-28,24578,2419091,555,87004
2020-07-29,23284,2442375,614,87618
2020-07-30,40816,2483191,921,88539
2020-07-31,69074,2552265,1595,90134
2020-08-01,57837,2610102,1129,91263
2020-08-02,52383,2662485,1212,92475
2020-08-03,45392,2707877,1088,93563
2020-08-04,25800,2733677,541,94104
