Date,New Cases,Total Cases,New Deaths,Total Deaths
2020-02-28,6,6,0,0
2020-02-29,0,6,0,0
2020-03-01,0,6,0,0
2020-03-02,3,9,0,0
2020-03-03,0,9,0,0
2020-03-04,0,9,0,0
2020-03-05,0,9,0,0
2020-03-06,0,9,0,0
2020-03-07,0,9,0,0
2020-03-08,2,11,0,0
2020-03-09,0,11,0,0
2020-03-10,0,11,0,0
2020-03-11,0,11,0,0
2020-03-12,4,15,0,0
2020-03-13,1,16,0,0
2020-03-14,14,30,0,0
2020-03-15,15,45,0,0
2020-03-16,12,57,0,0
2020-03-17,29,86,0,0
2020-03-18,11,97,0,0
2020-03-19,21,118,1,1
2020-03-20,46,164,0,1
2020-03-21,0,164,0,1
2020-03-22,0,164,0,1
2020-03-23,87,251,1,2
2020-03-24,119,370,2,4
2020-03-25,0,370,0,4
2020-03-26,108,478,1,5
2020-03-27,0,478,0,5
2020-03-28,111,589,3,8
2020-03-29,128,717,4,12
2020-03-30,131,848,4,16
2020-03-31,145,993,4,20
2020-04-01,101,1094,8,28
2020-04-02,121,1215,1,29
2020-04-03,163,1378,8,37
2020-04-04,132,1510,13,50
2020-04-05,178,1688,10,60
2020-04-06,202,1890,19,79
2020-04-07,253,2143,15,94
2020-04-08,296,2439,31,125
2020-04-09,346,2785,16,141
2020-04-10,396,3181,33,174
2020-04-11,260,3441,20,194
2020-04-12,403,3844,39,233
2020-04-13,375,4219,40,273
2020-04-14,442,4661,23,296
2020-04-15,353,5014,36,332
2020-04-16,385,5399,74,406
2020-04-17,448,5847,43,449
2020-04-18,450,6297,37,486
2020-04-19,578,6875,60,546
2020-04-20,622,7497,104,650
2020-04-21,764,8261,36,686
2020-04-22,511,8772,26,712
2020-04-23,729,9501,145,857
2020-04-24,1043,10544,113,970
2020-04-25,1089,11633,99,1069
2020-04-26,1239,12872,152,1221
2020-04-27,970,13842,84,1305
2020-04-28,835,14677,46,1351
2020-04-29,852,15529,83,1434
2020-04-30,1223,16752,135,1569
2020-05-01,1047,17799,163,1732
2020-05-02,1425,19224,127,1859
2020-05-03,1515,20739,113,1972
2020-05-04,1349,22088,89,2061
2020-05-05,1383,23471,93,2154
2020-05-06,1434,24905,117,2271
2020-05-07,1120,26025,236,2507
2020-05-08,1609,27634,197,2704
2020-05-09,1982,29616,257,2961
2020-05-10,1906,31522,199,3160
2020-05-11,1938,33460,193,3353
2020-05-12,1562,35022,112,3465
2020-05-13,1305,36327,108,3573
2020-05-14,1997,38324,353,3926
2020-05-15,1862,40186,294,4220
2020-05-16,2409,42595,257,4477
2020-05-17,2437,45032,290,4767
2020-05-18,2112,47144,278,5045
2020-05-19,2075,49219,132,5177
2020-05-20,2414,51633,155,5332
2020-05-21,2713,54346,334,5666
2020-05-22,2248,56594,424,6090
2020-05-23,2973,59567,420,6510
2020-05-24,2960,62527,479,6989
2020-05-25,3329,65856,190,7179
2020-05-26,2764,68620,215,7394
2020-05-27,2485,71105,239,7633
2020-05-28,3455,74560,501,8134
2020-05-29,3463,78023,463,8597
2020-05-30,3377,81400,447,9044
2020-05-31,3227,84627,371,9415
2020-06-01,2885,87512,364,9779
2020-06-02,3152,90664,151,9930
2020-06-03,2771,93435,237,10167
2020-06-04,3891,97326,470,10637
2020-06-05,3912,101238,1091,11728
2020-06-06,4442,105680,817,12545
2020-06-07,4346,110026,625,13170
2020-06-08,3593,113619,341,13511
2020-06-09,3484,117103,188,13699
2020-06-10,2999,120102,354,14053
2020-06-11,4199,124301,596,14649
2020-06-12,4883,129184,708,15357
2020-06-13,4790,133974,587,15944
2020-06-14,5222,139196,504,16448
2020-06-15,3494,142690,424,16872
2020-06-16,4147,146837,269,17141
2020-06-17,3427,150264,439,17580
2020-06-18,4599,154863,730,18310
2020-06-19,4930,159793,770,19080
2020-06-20,5662,165455,667,19747
2020-06-21,5030,170485,647,20394
2020-06-22,4717,175202,387,20781
2020-06-23,5343,180545,1044,21825
2020-06-24,4577,185122,759,22584
2020-06-25,6288,191410,793,23377
2020-06-26,5437,196847,947,24324
2020-06-27,6104,202951,736,25060
2020-06-28,5441,208392,719,25779
2020-06-29,4410,212802,602,26381
2020-06-30,4050,216852,267,26648
2020-07-01,3805,220657,473,27121
2020-07-02,5432,226089,648,27769
2020-07-03,5681,231770,741,28510
2020-07-04,6741,238511,679,29189
2020-07-05,6740,245251,654,29843
2020-07-06,6914,252165,523,30366
2020-07-07,4683,256848,273,30639
2020-07-08,4902,261750,480,31119
2020-07-09,6258,268008,895,32014
2020-07-10,6995,275003,782,32796
2020-07-11,7280,282283,730,33526
2020-07-12,6891,289174,665,34191
2020-07-13,6094,295268,539,34730
2020-07-14,4482,299750,276,35006
2020-07-15,4685,304435,485,35491
2020-07-16,7051,311486,836,36327
2020-07-17,6149,317635,579,36906
2020-07-18,6406,324041,668,37574
2020-07-19,7257,331298,736,38310
2020-07-20,7615,338913,578,38888
2020-07-21,5311,344224,296,39184
2020-07-22,5172,349396,301,39485
2020-07-23,6859,356255,915,40400
2020-07-24,6019,362274,790,41190
2020-07-25,8438,370712,718,41908
2020-07-26,7573,378285,737,42645
2020-07-27,6751,385036,729,43374
2020-07-28,5480,390516,306,43680
2020-07-29,4973,395489,342,44022
2020-07-30,7208,402697,854,44876
2020-07-31,5752,408449,485,45361
2020-08-01,7730,416179,639,46000
2020-08-02,8458,424637,688,46688
2020-08-03,9556,434193,784,47472
2020-08-04,4853,439046,274,47746
